"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Columbia: The #Arctic is warming at 'astonishing' rates. @LamontEarth's Marco Tedesco talks w/ @NPR. #climate https://t.co/6K0GyZdfJa",FALSE,0,NA,2016-12-16 17:40:37,FALSE,NA,"809815510019964928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","monroykelsey",4,TRUE,FALSE,NA,NA
"RT @AssaadRazzouk: So Here’s Another Thing Global Warming Causes: Catastrophic Glacial Avalanches

https://t.co/dGP9wygenx #climate #facts…",FALSE,0,NA,2016-12-16 17:40:27,FALSE,NA,"809815465144958977",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FadhelKaboub",29,TRUE,FALSE,NA,NA
"RT @CalPERS: ""When you see the world's central bankers focus on #climate risk reporting, you know it has gone mainstream"" @AnneSimpsonUSA #…",FALSE,0,NA,2016-12-16 17:40:05,FALSE,NA,"809815374690664448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Alleninvest",28,TRUE,FALSE,NA,NA
"RT @arikring: Once an ""Alternative #Energy"" #Solar is Definitely Mainstream &amp; Affordable Now!

https://t.co/MA1nk6fbOI
#Climate #KeepItInTh…",FALSE,0,NA,2016-12-16 17:40:05,FALSE,NA,"809815374195728387",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JukkaPSeppl",68,TRUE,FALSE,NA,NA
"RT @Connect4Climate: News: Global community supports record $75B package to #endpoverty w/ focus on #refugees, #climate https://t.co/MTsvrh…",FALSE,0,NA,2016-12-16 17:39:57,FALSE,NA,"809815339148177408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OlumideIDOWU",2,TRUE,FALSE,NA,NA
"RT @Connect4Climate: News: Global community supports record $75B package to #endpoverty w/ focus on #refugees, #climate https://t.co/MTsvrh…",FALSE,0,NA,2016-12-16 17:39:36,FALSE,NA,"809815251797573632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ClimateWed",2,TRUE,FALSE,NA,NA
"RT @wef: #Climate change hotspots: what they are and why they matter https://t.co/hZVwB06Mtr https://t.co/OmYc0hUnUz",FALSE,0,NA,2016-12-16 17:39:35,FALSE,NA,"809815248299499520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","elbanox",18,TRUE,FALSE,NA,NA
"RT @ClimateTruthNow: The myth of man-made global warming has been busted: https://t.co/j6EMk0AGmI #climate",FALSE,0,NA,2016-12-16 17:39:33,FALSE,NA,"809815240372170752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tevet",9,TRUE,FALSE,NA,NA
"RT @Columbia: The #Arctic is warming at 'astonishing' rates. @LamontEarth's Marco Tedesco talks w/ @NPR. #climate https://t.co/6K0GyZdfJa",FALSE,0,NA,2016-12-16 17:39:31,FALSE,NA,"809815233468530688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cs_sessantatre",4,TRUE,FALSE,NA,NA
"RT @PaulEDawson: Scientists are frantically copying U.S. #climate #data, fearing it might vanish with Trump - https://t.co/Ma1MJdI3Oq",FALSE,0,NA,2016-12-16 17:39:24,FALSE,NA,"809815204133474307",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","raeleighhutch",17,TRUE,FALSE,NA,NA
